time,LUPA_gyr_x,LUPA_gyr_y,LUPA_gyr_z,LUPA_acc_x,LUPA_acc_y,LUPA_acc_z,LUPA_mag_x,LUPA_mag_y,LUPA_mag_z
0.0,-0.18310546875,-0.18310546875,0.0,0.424085207678457,-0.5780205694753868,-0.6772667622913296,9.3125,34.9375,11.625
0.5,0.54931640625,0.06103515625,0.0,0.4172490615558336,-0.5778984954374828,-0.6756797997985778,10.6875,34.6875,13.4375
1.0,0.54931640625,0.30517578125,0.0,0.4206671346171453,-0.5786309396649068,-0.6766563921018097,9.3125,35.6875,15.625
1.5,-0.06103515625,-0.3662109375,0.06103515625,0.4267708365123447,-0.5799737540818506,-0.6769005401776177,9.3125,33.9375,16.4375
2.0,0.06103515625,-0.18310546875,0.18310546875,0.4213995788445692,-0.575579088717307,-0.6766563921018097,11.3125,35.0,12.9375
2.5,0.06103515625,-0.244140625,0.18310546875,0.4216437269203772,-0.5789971617786187,-0.6770226142155217,8.3125,32.4375,8.4375
3.0,-0.9765625,-0.91552734375,-0.06103515625,0.4227423932615131,-0.5791192358165227,-0.6792199468977935,9.3125,34.3125,15.1875
3.5,0.42724609375,-0.30517578125,0.1220703125,0.4209112826929533,-0.5747245704519791,-0.6771446882534257,8.6875,32.8125,10.75
4.0,0.18310546875,-0.06103515625,0.244140625,0.4279915768913846,-0.576677755058443,-0.6695760979033784,7.3125,33.9375,11.125
4.5,13.85498046875,-7.32421875,3.96728515625,0.4382457960753196,-0.6571245460371715,-0.7003387554551835,9.0,35.0,9.8125
5.0,9.21630859375,-67.138671875,49.86572265625,-0.0458998382518997,-0.6363719595934935,-0.7716299935911131,21.4375,31.375,5.375
5.5,5.67626953125,0.3662109375,6.591796875,-0.4171269875179296,-0.6717734305856502,-0.5483565782647175,25.1875,26.3125,-2.5625
6.0,-34.3017578125,83.49609375,-130.79833984375,0.5387127292703024,-0.9153111362041078,-0.7896969512009033,-0.4375,36.8125,0.9375
6.5,-21.91162109375,20.8740234375,1.28173828125,0.8359630115665151,-0.2977385784478286,-0.4203009125034333,-12.1875,32.4375,4.9375
7.0,-4.94384765625,-40.46630859375,18.37158203125,0.977446821497238,-0.3315530869472335,-0.5479903561510056,-9.5,31.0625,11.625
7.5,35.15625,-18.49365234375,43.64013671875,0.1453901791436506,-0.52211066011536,-0.7806634723960082,11.6875,33.9375,11.125
8.0,0.06103515625,52.490234375,-22.705078125,-0.0028077028717917,-0.5278481398968474,-0.7861568041016876,13.375,32.8125,11.125
8.5,39.36767578125,-29.35791015625,32.53173828125,0.0874050111392559,-0.5920590838343456,-0.7939695425275429,15.75,32.4375,8.5
9.0,-4.39453125,-46.08154296875,16.54052734375,-0.1868953520310068,-0.750144962920011,-0.4937894833216346,22.8125,31.75,-7.0625
9.5,-39.73388671875,59.6923828125,-79.58984375,-0.0124515518662068,-0.6253852961821345,-0.5080721457564012,16.75,35.0,4.0625
