time,RUPA_gyr_x,RUPA_gyr_y,RUPA_gyr_z,RUPA_acc_x,RUPA_acc_y,RUPA_acc_z,RUPA_mag_x,RUPA_mag_y,RUPA_mag_z
0.0,0.18310546875,0.0,-0.244140625,0.4621723075045015,0.7436750389110995,-0.4643696401867733,-4.125,-35.375,14.4375
0.5,-1.77001953125,-0.1220703125,0.732421875,0.4622943815424055,0.7431867427594836,-0.466811120944853,-3.4375,-34.3125,12.5
1.0,0.9765625,0.06103515625,0.06103515625,0.4614398632770775,0.7296365245521409,-0.4594866786706137,-4.8125,-33.875,11.6875
1.5,0.6103515625,-0.06103515625,-0.06103515625,0.4631488998077334,0.7364726706747643,-0.4658345286416211,-3.75,-35.8125,13.75
2.0,-0.244140625,-0.18310546875,0.0,0.4652241584521012,0.7462385937070833,-0.4620502334665975,-3.0625,-34.6875,12.9375
2.5,0.06103515625,0.244140625,-0.8544921875,0.4642475661488693,0.7342753379924924,-0.4663228247932371,-4.125,-36.9375,12.9375
3.0,0.244140625,-0.8544921875,-0.3662109375,0.4608294930875576,0.7514877773369548,-0.4589983825189977,-3.0625,-34.3125,13.3125
3.5,0.8544921875,0.30517578125,-0.1220703125,0.4620502334665975,0.7551499984740745,-0.4605853450117496,-3.4375,-34.6875,12.125
4.0,-0.79345703125,0.6103515625,-1.40380859375,0.4487441633350627,0.7445295571764275,-0.4570451979125339,-2.0,-35.0,10.875
4.5,11.8408203125,-3.90625,-3.7841796875,0.4576555681020539,0.7556382946256904,-0.4859767448957793,-3.75,-34.3125,10.5
5.0,23.49853515625,-65.73486328125,-75.5615234375,0.0231940672017578,0.749778740806299,-0.6776329844050416,15.25,-27.8125,12.5
5.5,-6.8359375,-3.5400390625,7.38525390625,-0.5770439771721549,0.4152958769493698,-0.4873195593127232,26.5625,-14.5625,6.125
6.0,20.08056640625,61.34033203125,118.0419921875,0.4184698019348735,0.8272957548753319,-0.6369823297830134,-3.4375,-35.8125,7.6875
6.5,26.55029296875,12.87841796875,2.25830078125,0.8679464094973601,0.3547471541489914,-0.3862422559282205,-22.8125,-30.125,11.6875
