time,RSHO_gyr_x,RSHO_gyr_y,RSHO_gyr_z,RSHO_acc_x,RSHO_acc_y,RSHO_acc_z,RSHO_mag_x,RSHO_mag_y,RSHO_mag_z
0.0,-0.06103515625,0.0,0.06103515625,0.2989593188268685,0.3894161809137241,-0.8608661152989288,-7.0625,-27.875,19.5
0.5,-0.6103515625,0.42724609375,0.18310546875,0.2992034669026764,0.3878292184209723,-0.8541520432142095,-5.9375,-29.375,20.75
1.0,-0.244140625,-0.6103515625,-0.6103515625,0.2973723563341166,0.3900265511032441,-0.858424634540849,-6.3125,-29.75,21.0625
1.5,0.3662109375,-0.1220703125,0.30517578125,0.3016449476607562,0.3905148472548601,-0.8618427076021608,-5.1875,-28.25,19.125
2.0,0.06103515625,0.18310546875,0.42724609375,0.2993255409405804,0.3941770683919797,-0.8607440412610248,-5.1875,-26.375,21.5
2.5,0.0,0.1220703125,0.30517578125,0.293588061159093,0.3870967741935484,-0.858912930692465,-7.0625,-29.75,18.6875
3.0,1.03759765625,-0.8544921875,0.06103515625,0.3054292428357799,0.391247291482284,-0.8470717490157781,-6.6875,-30.125,15.5625
3.5,-0.18310546875,-0.48828125,-0.54931640625,0.3079927976317637,0.3962523270363475,-0.8489028595843379,-5.9375,-29.75,20.3125
4.0,-0.8544921875,0.732421875,0.244140625,0.2937101351969969,0.391247291482284,-0.8536637470625935,-5.1875,-29.75,18.75
4.5,-3.60107421875,6.34765625,0.06103515625,0.3455916013061922,0.4140751365703299,-0.8633075960570086,-6.6875,-29.0,17.125
5.0,-19.8974609375,-10.1318359375,-17.76123046875,0.3205664235358745,0.5091708120975371,-0.7740714743491928,-4.0,-33.75,15.5625
5.5,-0.06103515625,2.50244140625,2.99072265625,0.2551347392193365,0.6119571520126957,-0.7478255561998352,-1.6875,-33.375,14.375
6.0,28.3203125,9.3994140625,51.025390625,0.5576342051454207,0.4754783776360362,-0.7815179906613361,-10.875,-29.75,14.375
6.5,-10.19287109375,7.080078125,5.615234375,0.543717764824366,0.3617053743095187,-0.7583239234595782,-13.5625,-27.875,15.1875
7.0,1.89208984375,0.3662109375,-7.32421875,0.4837794122135075,0.3593859675893429,-0.7885982848597675,-15.4375,-29.375,18.75
7.5,-6.8359375,-10.07080078125,-23.92578125,0.3200781273842585,0.5074617755668813,-0.7586901455732902,-5.1875,-33.375,14.75
8.0,-0.244140625,2.38037109375,-5.67626953125,0.2180242316965239,0.5023346659749138,-0.8340098269600513,-3.25,-31.9375,17.125
8.5,-7.87353515625,-4.8828125,-2.50244140625,0.2802819910275582,0.5042878505813776,-0.8008056886501663,-6.3125,-33.0625,13.5625
9.0,-4.45556640625,3.47900390625,-5.55419921875,0.2959074678792688,0.5206457716605121,-0.8115482039857174,-2.0625,-30.875,13.5625
9.5,11.23046875,11.3525390625,14.22119140625,0.3205664235358745,0.4978179265724662,-0.7888424329355754,-6.6875,-30.125,17.9375
10.0,2.9296875,-3.84521484375,-4.7607421875,0.3861201818903165,0.357921079134495,-0.8288827173680837,-9.6875,-29.375,15.9375
10.5,-1.52587890625,1.708984375,-0.8544921875,0.3730582598345897,0.4152958769493698,-0.8126468703268532,-7.5,-32.3125,16.3125
11.0,-0.54931640625,-11.5966796875,-12.87841796875,0.3202002014221625,0.4047975096896267,-0.8458510086367382,-5.5625,-31.25,17.9375
11.5,-4.82177734375,-11.5966796875,-11.3525390625,0.2705160679952391,0.5007477034821619,-0.793115024262215,-1.6875,-30.875,19.5
12.0,-0.18310546875,-0.30517578125,-0.06103515625,0.2257148960844752,0.554338206122013,-0.8049562059389019,-4.0,-32.3125,16.6875
12.5,18.1884765625,6.16455078125,9.33837890625,0.3309427167577135,0.2920010986663411,-0.9110385448774682,-7.5,-26.75,23.0625
13.0,2.25830078125,-5.79833984375,-2.8076171875,0.2769859920041505,0.3878292184209723,-0.8753929258095035,-4.375,-27.5,21.0625
13.5,0.3662109375,2.197265625,1.03759765625,0.3015228736228522,0.3549913022247993,-0.879665517136143,-6.3125,-27.5,18.75
14.0,0.18310546875,0.8544921875,0.732421875,0.2911465804010132,0.3509628589739677,-0.8667256691183203,-5.1875,-27.875,21.0625
14.5,-0.06103515625,0.732421875,0.48828125,0.3126316110721152,0.359019745475631,-0.8713644825586718,-5.9375,-28.25,19.125
15.0,0.244140625,0.1220703125,0.244140625,0.2973723563341166,0.3507187108981597,-0.8771019623401594,-5.1875,-25.75,19.125
15.5,0.54931640625,-0.244140625,0.0,0.2965178380687887,0.3459578234199041,-0.8783227027191992,-5.5625,-30.125,21.875
16.0,1.15966796875,12.3291015625,2.50244140625,0.2993255409405804,0.3752555925168614,-0.8509781182287057,-10.125,-27.5,19.9375
16.5,10.80322265625,-14.83154296875,16.11328125,0.3538926358836634,0.2325510422070986,-0.8581804864650411,-15.8125,-25.0,24.3125
17.0,7.01904296875,1.953125,-7.8125,0.5393230994598224,0.2896816919461653,-0.7768791772209845,-9.3125,-28.625,20.3125
17.5,-6.28662109375,-11.53564453125,-15.625,0.2898037659840693,0.3338724936674093,-0.8458510086367382,-4.75,-30.5,18.75
18.0,14.0380859375,26.85546875,6.2255859375,0.2695394756920072,0.4499649037141026,-0.8205816827906125,-12.0,-27.5,19.9375
18.5,-4.39453125,4.33349609375,-4.39453125,0.5011139255958739,0.2962736899929807,-0.8084963530381176,-13.9375,-27.875,17.5
19.0,-11.16943359375,-7.568359375,-14.6484375,0.4399548326059755,0.4106570635090182,-0.8078859828485977,-10.125,-31.25,13.9375
19.5,-5.55419921875,-6.591796875,-17.63916015625,0.2691732535782952,0.554216132084109,-0.7699209570604572,-1.6875,-34.5,16.6875
20.0,4.5166015625,1.46484375,2.685546875,0.2546464430677205,0.5776543473616749,-0.7755363628040407,-7.5,-32.6875,18.75
20.5,22.216796875,4.0283203125,32.77587890625,0.4279915768913846,0.4057741019928587,-0.7995849482711265,-12.4375,-27.5,19.125
21.0,-32.958984375,7.080078125,-23.62060546875,0.4002807702871792,0.4121219519638661,-0.8114261299478134,-7.5,-31.5625,14.75
21.5,-0.1220703125,-16.7236328125,-5.0048828125,0.3770867030854213,0.4438612018189031,-0.7893307290871914,-6.6875,-33.0625,14.375
22.0,0.18310546875,-2.9296875,-3.23486328125,0.3455916013061922,0.4948881496627704,-0.7679677724539934,-6.6875,-32.3125,15.5625
22.5,5.79833984375,-5.67626953125,0.30517578125,0.3191015350810266,0.4629047517319254,-0.7975096896267586,-4.75,-31.5625,19.9375
23.0,-1.0986328125,-0.54931640625,3.35693359375,0.3575548570207831,0.4802392651142918,-0.7907956175420392,-6.6875,-27.5,16.6875
23.5,-1.46484375,4.08935546875,-1.46484375,0.3419293801690725,0.4371471297341838,-0.8222907193212683,-7.5,-33.0625,16.6875
24.0,0.06103515625,0.48828125,-0.06103515625,0.3463240455336161,0.4577776421399578,-0.8200933866389966,-5.9375,-29.0,20.3125
24.5,2.86865234375,1.15966796875,-2.5634765625,0.3308206427198095,0.4119998779259621,-0.8226569414349804,-8.5625,-29.0,20.75
25.0,-3.7841796875,-0.67138671875,6.28662109375,0.3457136753440962,0.4187139500106814,-0.8303476058229317,-8.5625,-30.875,20.75
25.5,-0.3662109375,0.8544921875,-0.9765625,0.3242286446729941,0.4209112826929533,-0.8250984221930601,-5.9375,-30.125,15.9375
26.0,1.3427734375,0.42724609375,-1.40380859375,0.3440046388134403,0.4204229865413373,-0.826075014496292,-7.0625,-30.875,16.3125
26.5,-0.54931640625,-0.79345703125,0.42724609375,0.3470564897610401,0.4246955778679769,-0.826197088534196,-5.1875,-28.625,19.9375
27.0,0.3662109375,-1.64794921875,-0.3662109375,0.3503524887844477,0.4323862422559282,-0.8290047914059877,-7.5,-28.25,17.9375
27.5,1.64794921875,0.30517578125,-2.197265625,0.3355815301980651,0.4199346903897213,-0.826563310647908,-7.0625,-30.5,18.75
28.0,-0.42724609375,-0.91552734375,0.1220703125,0.3360698263496811,0.4167607654042176,-0.826807458723716,-5.9375,-30.5,18.75
28.5,-0.79345703125,-0.42724609375,1.03759765625,0.3304544206060976,0.423963133640553,-0.8286385692922758,-6.3125,-28.25,18.75
29.0,0.0,0.1220703125,0.244140625,0.3374126407666249,0.4187139500106814,-0.8330332346568193,-8.1875,-29.75,17.125
29.5,1.64794921875,0.1220703125,-2.13623046875,0.3286233100375377,0.413098544267098,-0.836329233680227,-6.6875,-30.875,19.5625
30.0,0.244140625,-0.79345703125,-0.42724609375,0.3331400494399854,0.4094363231299783,-0.8397473067415387,-5.9375,-28.25,18.3125
30.5,-0.79345703125,0.06103515625,0.54931640625,0.3283791619617298,0.412732322153386,-0.8315683462019715,-7.8125,-29.375,21.875
31.0,-0.732421875,0.54931640625,-0.54931640625,0.3309427167577135,0.4156620990630817,-0.8335215308084353,-6.6875,-29.0,23.0625
31.5,0.244140625,0.18310546875,-0.244140625,0.3359477523117771,0.4140751365703299,-0.8323007904293954,-8.5625,-31.9375,15.9375
32.0,-0.18310546875,-0.1220703125,-0.18310546875,0.3383892330698568,0.4203009125034333,-0.8296151615955076,-5.1875,-30.5,18.3125
32.5,-0.30517578125,0.06103515625,0.1220703125,0.3394878994109928,0.4179815057832575,-0.8287606433301797,-5.9375,-30.875,19.9375
33.0,-1.5869140625,1.46484375,-1.0986328125,0.3381450849940489,0.4187139500106814,-0.826563310647908,-6.6875,-30.5,17.5
