time,SACR_gyr_x,SACR_gyr_y,SACR_gyr_z,SACR_acc_x,SACR_acc_y,SACR_acc_z,SACR_mag_x,SACR_mag_y,SACR_mag_z
0.0,0.1220703125,-0.06103515625,-0.18310546875,0.9541306802575762,-0.0300302133243812,0.2812585833307901,-30.9375,2.6875,-37.6875
0.5,0.30517578125,0.0,-0.06103515625,0.9535203100680564,-0.0290536210211493,0.2815027314065981,-30.5625,3.0,-40.5625
1.0,0.1220703125,-0.1220703125,0.0,0.9538865321817682,-0.0296639912106692,0.2843104342783898,-31.3125,2.3125,-32.8125
1.5,0.06103515625,-0.1220703125,-0.18310546875,0.9543748283333842,-0.0292977690969573,0.2854091006195257,-30.5625,2.6875,-40.5625
2.0,-0.18310546875,-0.06103515625,-0.30517578125,0.9552293465987122,-0.0294198431348612,0.2860194708090456,-31.6875,2.3125,-38.5625
2.5,0.79345703125,-0.6103515625,-0.1220703125,0.9535203100680564,-0.0289315469832453,0.2880947294534135,-30.5625,1.9375,-41.75
3.0,-0.6103515625,0.1220703125,-0.42724609375,0.957182531205176,-0.0307626575518051,0.2840662862025818,-31.6875,2.6875,-41.75
3.5,0.06103515625,-0.18310546875,-0.06103515625,0.954863124485,-0.0284432508316293,0.28186895352031,-32.3125,1.9375,-39.375
4.0,-0.1220703125,0.48828125,-0.244140625,0.9530320139164404,-0.0263679921872615,0.2799157689138462,-32.3125,2.3125,-40.9375
4.5,3.72314453125,-4.0283203125,-0.732421875,0.9592577898495438,-0.0180669576097903,0.2670979949339274,-31.9375,0.75,-34.0625
5.0,0.3662109375,-0.42724609375,0.244140625,0.9606006042664876,-0.032227546006653,0.2584307382427442,-30.9375,0.375,-38.5625
5.5,-1.46484375,1.52587890625,-0.06103515625,0.9593798638874478,-0.0391857661671803,0.2784508804589984,-32.6875,2.3125,-40.9375
6.0,0.79345703125,-1.15966796875,-0.732421875,0.967436750389111,-0.0260017700735496,0.2795495468001343,-31.3125,0.0,-36.875
6.5,-0.54931640625,0.67138671875,-0.3662109375,0.956450086977752,-0.0372325815607165,0.2887050996429334,-32.6875,0.75,-37.75
7.0,0.3662109375,0.1220703125,0.30517578125,0.9586474196600238,-0.0267342143009735,0.2795495468001343,-31.9375,0.75,-40.1875
7.5,0.06103515625,0.54931640625,0.48828125,0.9580370494705038,-0.0355235450300607,0.2730796227912229,-29.4375,3.0,-37.75
8.0,-0.18310546875,-0.6103515625,1.03759765625,0.9529099398785364,-0.0274666585283974,0.2545243690298165,-30.9375,0.0,-36.9375
8.5,-0.54931640625,1.220703125,0.244140625,0.9579149754325998,-0.0357676931058687,0.2772301400799585,-30.1875,-0.375,-40.1875
9.0,0.30517578125,2.50244140625,0.732421875,0.957548753318888,-0.0240485854670857,0.2591631824701682,-32.6875,1.125,-37.3125
9.5,0.48828125,-2.86865234375,-0.8544921875,0.9612109744560076,-0.0238044373912778,0.2542802209540086,-30.9375,1.125,-40.5625
10.0,-0.30517578125,4.8828125,0.8544921875,0.956938383129368,-0.0194097720267342,0.2420728171636097,-31.9375,-0.375,-39.375
10.5,-0.18310546875,0.244140625,-0.42724609375,0.9599902340769676,-0.0396740623187963,0.2778405102694784,-33.4375,2.6875,-36.875
11.0,5.126953125,-2.0751953125,-0.3662109375,0.9536423841059604,-0.0118411816766869,0.2675862910855434,-31.6875,-0.75,-37.3125
11.5,-1.03759765625,0.0,-0.1220703125,0.9602343821527756,-0.0139164403210547,0.260628070925016,-31.9375,-0.375,-39.8125
12.0,-0.3662109375,-0.67138671875,0.18310546875,0.9596240119632558,-0.032471694082461,0.2653889584032716,-33.4375,1.9375,-38.9375
12.5,-0.6103515625,1.89208984375,-1.5869140625,0.9629200109866634,-0.0020752586443678,0.2302316354869228,-33.0625,0.75,-38.9375
13.0,-1.220703125,1.220703125,0.9765625,0.9580370494705038,-0.0058595538193914,0.261116367076632,-32.3125,1.5,-34.875
13.5,-0.30517578125,0.244140625,0.18310546875,0.95547349467452,-0.0169682912686544,0.2725913266396069,-31.9375,-0.375,-40.1875
14.0,0.0,0.42724609375,-0.06103515625,0.957060457167272,-0.0166020691549424,0.2735679189428388,-30.9375,1.9375,-40.1875
14.5,0.1220703125,0.06103515625,-0.244140625,0.9537644581438642,-0.0249031037324137,0.2691732535782952,-30.5625,3.0,-38.5625
15.0,-0.18310546875,-0.18310546875,-0.1220703125,0.955595568712424,-0.031617175817133,0.2730796227912229,-30.1875,1.9375,-39.375
15.5,0.0,0.0,-0.3662109375,0.9553514206366162,-0.0225836970122379,0.2763756218146306,-31.6875,1.5,-37.75
16.0,-1.3427734375,1.03759765625,0.79345703125,0.9632862331003754,-0.0300302133243812,0.2587969603564561,-31.6875,0.75,-37.3125
16.5,1.40380859375,3.47900390625,0.1220703125,0.9531540879543444,-0.0069582201605273,0.2988372447889645,-29.4375,1.125,-39.375
17.0,-1.220703125,3.11279296875,-1.46484375,0.95608386486404,-0.0450453199865718,0.2874843592638935,-30.5625,0.375,-36.125
17.5,-1.5869140625,1.15966796875,-0.67138671875,0.9582811975463118,-0.0244148075807977,0.2968840601825007,-31.9375,1.9375,-38.125
18.0,-3.0517578125,-0.30517578125,-0.732421875,0.9662160100100712,-0.0384533219397564,0.3090914639728995,-31.3125,0.0,-38.125
18.5,-0.8544921875,2.74658203125,-0.1220703125,0.9621875667592394,-0.0365001373332926,0.2807702871791742,-33.8125,1.9375,-38.125
19.0,1.89208984375,-1.708984375,0.48828125,0.9620654927213356,-0.0350352488784447,0.2689291055024873,-33.8125,1.5,-37.3125
19.5,-0.244140625,0.30517578125,0.42724609375,0.9607226783043916,-0.032349620044557,0.2655110324411756,-31.6875,1.5,-37.3125
20.0,-0.42724609375,-2.3193359375,-0.67138671875,0.9762260811181982,-0.0295419171727652,0.3028656880397961,-30.1875,2.3125,-38.9375
20.5,-6.53076171875,5.92041015625,-0.54931640625,0.957426679280984,-0.0261238441114535,0.2547685171056245,-32.6875,0.75,-38.5625
21.0,2.8076171875,-3.173828125,-0.42724609375,0.9591357158116398,-0.053712576677755,0.2529374065370647,-31.9375,1.125,-34.875
21.5,0.244140625,2.197265625,0.6103515625,0.9608447523422956,-0.0155034028138065,0.2504959257789849,-32.6875,-1.0625,-38.125
22.0,0.42724609375,0.79345703125,0.1220703125,0.9519333475753043,-0.0170903653065584,0.260994293038728,-31.9375,1.125,-38.9375
22.5,-0.1220703125,0.91552734375,1.0986328125,0.954496902371288,-0.021240882595294,0.2649006622516556,-31.6875,1.9375,-40.1875
23.0,-0.6103515625,-0.06103515625,0.6103515625,0.95669423505356,-0.0253913998840296,0.2705160679952391,-30.1875,3.375,-39.75
23.5,-0.244140625,0.54931640625,-0.18310546875,0.9531540879543444,-0.0247810296945097,0.2756431775872066,-31.6875,0.75,-40.5625
24.0,13.427734375,0.91552734375,2.38037109375,0.9531540879543444,-0.0260017700735496,0.2879726554155095,-29.4375,0.75,-40.625
24.5,-7.32421875,-0.67138671875,-1.77001953125,0.9475386822107608,-0.0408948026978362,0.2868739890743736,-30.5625,-0.375,-35.6875
25.0,-1.28173828125,0.244140625,-1.15966796875,0.9527878658406324,0.0021973326822717,0.2846766563921018,-31.9375,1.9375,-38.5625
25.5,1.89208984375,-0.1220703125,0.48828125,0.9543748283333842,-0.0260017700735496,0.2789391766106143,-31.3125,0.375,-40.1875
26.0,0.244140625,0.30517578125,-0.244140625,0.9538865321817682,-0.0393078402050843,0.2862636188848537,-32.3125,0.0,-36.5
26.5,-5.615234375,-0.54931640625,-1.03759765625,0.9526657918027284,-0.0231940672017578,0.2865077669606616,-31.3125,1.125,-38.5625
27.0,3.35693359375,0.42724609375,0.91552734375,0.95547349467452,-0.0194097720267342,0.281991027558214,-33.0625,1.5,-40.1875
27.5,0.42724609375,0.244140625,-0.8544921875,0.9522995696890164,-0.0297860652485732,0.2845545823541978,-31.9375,0.0,-36.0625
28.0,-2.99072265625,0.06103515625,-0.732421875,0.9522995696890164,-0.0251472518082216,0.2872402111880855,-29.4375,0.0,-36.875
28.5,-0.1220703125,-0.06103515625,0.3662109375,0.9536423841059604,-0.0278328806421094,0.282723471785638,-31.9375,1.5,-36.5
