time,LSHO_gyr_x,LSHO_gyr_y,LSHO_gyr_z,LSHO_acc_x,LSHO_acc_y,LSHO_acc_z,LSHO_mag_x,LSHO_mag_y,LSHO_mag_z
0.0,0.244140625,0.1220703125,-0.1220703125,0.250007629627369,-0.4332407605212561,-0.8788109988708152,-18.5625,35.75,14.5625
0.5,0.42724609375,0.06103515625,-0.30517578125,0.2515945921201208,-0.4360484633930478,-0.879787591174047,-18.875,33.0,14.1875
1.0,0.6103515625,0.30517578125,-0.18310546875,0.2480544450209051,-0.4351939451277199,-0.8762474440748313,-17.8125,36.5625,16.125
1.5,-0.1220703125,0.06103515625,-0.48828125,0.2448805200354014,-0.4369029816583758,-0.8764915921506393,-16.4375,36.5625,12.9375
2.0,0.06103515625,-0.1220703125,-0.18310546875,0.2490310373241371,-0.4361705374309518,-0.8780785546433912,-18.1875,35.75,14.9375
2.5,0.3662109375,0.244140625,0.0,0.2511062959685049,-0.4311655018768883,-0.8784447767571032,-20.25,35.0,14.9375
3.0,-0.30517578125,-0.48828125,0.54931640625,0.2534257026886807,-0.445692312387463,-0.8667256691183203,-18.5625,34.625,14.9375
3.5,0.67138671875,0.3662109375,-0.244140625,0.2539139988402966,-0.4438612018189031,-0.8739280373546556,-18.875,34.1875,18.0625
4.0,0.3662109375,0.8544921875,-0.18310546875,0.2697836237678152,-0.4487441633350627,-0.8751487777336955,-16.75,35.0,15.375
4.5,7.38525390625,1.8310546875,-4.57763671875,0.2904141361735893,-0.4513077181310465,-0.869045075838496,-19.1875,35.75,18.0625
5.0,21.17919921875,-13.671875,14.22119140625,0.1291543321024201,-0.5470137638477737,-0.8239997558519242,-12.9375,38.5,11.4375
5.5,6.103515625,6.16455078125,0.3662109375,-0.0131839960936307,-0.6222113711966307,-0.7853022858363597,-10.5,39.6875,8.3125
6.0,-50.78125,28.13720703125,-53.955078125,0.1749320963164159,-0.5295571764275033,-0.8106936857203895,-19.5625,35.0,13.75
6.5,8.11767578125,1.708984375,-7.080078125,0.3513290810876797,-0.4004028443250831,-0.8677022614215522,-24.4375,31.5,13.375
7.0,0.18310546875,-1.3427734375,-1.52587890625,0.3774529251991332,-0.4184698019348735,-0.8542741172521134,-22.0,31.875,14.1875
7.5,10.55908203125,-11.77978515625,12.02392578125,0.1314737388225959,-0.4985503707998901,-0.8382824182866909,-15.375,36.5625,11.0625
8.0,3.2958984375,-8.23974609375,10.009765625,0.1756645405438398,-0.5684987945188757,-0.8288827173680837,-15.75,36.9375,10.25
